finding_id,audit_id,severity,category,iosa_discipline_code,standard_ref,description,risk_index,date_raised,date_closed,due_date,status,repeat_flag,root_cause,responsible_owner,probability_score,closed_on_time
4793,334,Low,Equipment,ORG,ORG 1.4.2,Synthetic finding 4793 in equipment category.,5,2021-04-24,2021-07-24,2021-05-27,Closed,False,Procedure not followed,Owner 15,5,False
4794,335,Low,Documentation,ORG,ORG 1.7.11,Synthetic finding 4794 in documentation category.,5,2024-09-17,2024-10-16,2024-10-31,Closed,False,Documentation gap,Owner 16,5,True
4795,335,Medium,Equipment,ORG,ORG 2.1.6,Synthetic finding 4795 in equipment category.,6,2024-09-06,,2024-12-05,Overdue,True,Training gap,Owner 08,3,False
4796,335,Medium,Documentation,MNT,MNT 1.10.4,Synthetic finding 4796 in documentation category.,8,2024-09-17,2024-11-09,2024-12-12,Closed,False,Procedure not followed,Owner 06,4,True
4797,335,Medium,Training,ORG,ORG 1.7.6,Synthetic finding 4797 in training category.,6,2024-09-13,2024-11-09,2024-12-01,Closed,False,Resource limitation,Owner 16,3,True
4798,335,Low,Human Factors,ORG,ORG 1.7.5,Synthetic finding 4798 in human factors category.,1,2024-09-08,2024-11-21,2024-12-06,Closed,False,Training gap,Owner 06,1,True
4799,335,Low,Documentation,ORG,ORG 1.3.2,Synthetic finding 4799 in documentation category.,5,2024-09-12,2024-11-08,2024-10-13,Closed,False,Resource limitation,Owner 19,5,False
4800,335,Low,Equipment,MNT,MNT 4.7.5,Synthetic finding 4800 in equipment category.,5,2024-09-10,2024-11-06,2024-10-12,Closed,False,Documentation gap,Owner 15,5,False
4801,335,Medium,Facilities,ORG,ORG 2.1.4,Synthetic finding 4801 in facilities category.,8,2024-09-09,,2024-12-02,Overdue,False,Documentation gap,Owner 05,4,False
4802,335,Low,Human Factors,MNT,MNT 1.11.6,Synthetic finding 4802 in human factors category.,1,2024-09-16,2024-10-24,2024-11-07,Closed,False,Process design,Owner 13,1,True
4803,336,High,Equipment,ORG,ORG 3.3.4,Synthetic finding 4803 in equipment category.,16,2023-11-11,2023-12-29,2024-01-19,Closed,True,Process design,Owner 15,4,True
4804,336,Low,Operations,ORG,ORG 3.1.3,Synthetic finding 4804 in operations category.,5,2023-11-08,2023-12-23,2024-02-01,Closed,False,Process design,Owner 04,5,True
4805,336,Low,Facilities,ORG,ORG 3.3.3,Synthetic finding 4805 in facilities category.,3,2023-11-07,2023-12-09,2023-12-11,Closed,False,Procedure not followed,Owner 03,3,True
4806,336,Medium,Documentation,ORG,ORG 1.6.1,Synthetic finding 4806 in documentation category.,2,2023-11-07,2023-12-06,2023-12-26,Closed,False,Training gap,Owner 15,1,True
4807,336,Medium,Human Factors,ORG,ORG 2.1.5,Synthetic finding 4807 in human factors category.,10,2023-11-04,2023-12-24,2023-12-24,Closed,False,Procedure not followed,Owner 16,5,True
4808,336,High,Training,ORG,ORG 1.7.3,Synthetic finding 4808 in training category.,16,2023-11-10,2023-12-25,2024-01-13,Closed,False,Training gap,Owner 07,4,True
4809,336,Low,Human Factors,ORG,ORG 3.1.4,Synthetic finding 4809 in human factors category.,2,2023-11-08,2023-12-06,2023-12-19,Closed,True,Training gap,Owner 10,2,True
4810,336,High,Documentation,ORG,ORG 1.7.11,Synthetic finding 4810 in documentation category.,12,2023-11-06,,2023-12-29,Overdue,False,Procedure not followed,Owner 04,3,False
4811,336,Medium,Documentation,ORG,ORG 1.1.4,Synthetic finding 4811 in documentation category.,4,2023-11-04,2023-12-21,2023-12-08,Closed,False,Process design,Owner 08,2,False
4812,336,Low,Facilities,ORG,ORG 1.5.1,Synthetic finding 4812 in facilities category.,4,2023-11-08,2023-12-19,2023-12-30,Closed,False,Procedure not followed,Owner 05,4,True
4813,336,Low,Equipment,ORG,ORG 3.3.3,Synthetic finding 4813 in equipment category.,3,2023-11-06,2023-12-27,2024-01-17,Closed,False,Procedure not followed,Owner 07,3,True
4814,336,Low,Training,ORG,ORG 3.1.3,Synthetic finding 4814 in training category.,5,2023-11-08,2023-11-24,2023-12-10,Closed,False,Training gap,Owner 08,5,True
4815,336,High,Human Factors,ORG,ORG 4.1.3,Synthetic finding 4815 in human factors category.,16,2023-11-15,2023-12-18,2023-12-27,Closed,False,Documentation gap,Owner 07,4,True
4816,336,Critical,Equipment,ORG,ORG 2.2.3,Synthetic finding 4816 in equipment category.,15,2023-11-11,,2023-12-30,Overdue,False,Procedure not followed,Owner 17,3,False
4817,336,Medium,Facilities,ORG,ORG 1.5.5,Synthetic finding 4817 in facilities category.,4,2023-11-08,2023-12-31,2024-01-13,Closed,False,Resource limitation,Owner 11,2,True
4818,336,Medium,Facilities,ORG,ORG 3.6.1,Synthetic finding 4818 in facilities category.,4,2023-11-11,,2023-12-30,Overdue,False,Training gap,Owner 06,2,False
4819,336,Medium,Training,ORG,ORG 3.3.1,Synthetic finding 4819 in training category.,10,2023-11-09,2023-11-30,2024-02-06,Closed,False,Procedure not followed,Owner 09,5,True
4820,337,Medium,Documentation,CGO,CGO 3.2.13,Synthetic finding 4820 in documentation category.,2,2021-04-10,,2021-07-04,Overdue,False,Training gap,Owner 20,1,False
4821,337,Medium,Equipment,CGO,CGO 1.7.2,Synthetic finding 4821 in equipment category.,4,2021-04-10,2021-06-17,2021-05-24,Closed,False,Procedure not followed,Owner 02,2,False
4822,337,Low,Training,ORG,ORG 1.1.3,Synthetic finding 4822 in training category.,3,2021-04-04,2021-05-27,2021-06-18,Closed,False,Resource limitation,Owner 19,3,True
4823,337,Medium,Equipment,CGO,CGO 1.11.1,Synthetic finding 4823 in equipment category.,10,2021-04-09,2021-06-28,2021-05-25,Closed,False,Procedure not followed,Owner 07,5,False
4824,337,Low,Training,ORG,ORG 2.2.2,Synthetic finding 4824 in training category.,2,2021-04-10,2021-07-15,2021-06-27,Closed,True,Process design,Owner 06,2,False
4825,337,High,Documentation,CGO,CGO 1.11.4,Synthetic finding 4825 in documentation category.,12,2021-04-10,2021-07-16,2021-06-28,Closed,False,Procedure not followed,Owner 09,3,False
4826,337,Medium,Operations,ORG,ORG 3.1.1,Synthetic finding 4826 in operations category.,8,2021-04-10,,2021-05-18,Overdue,True,Resource limitation,Owner 12,4,False
4827,337,High,Equipment,ORG,ORG 2.4.4,Synthetic finding 4827 in equipment category.,12,2021-04-11,2021-05-31,2021-05-19,Closed,False,Procedure not followed,Owner 04,3,False
4828,337,Medium,Facilities,ORG,ORG 2.2.3,Synthetic finding 4828 in facilities category.,2,2021-04-04,2021-07-15,2021-05-23,Closed,False,Procedure not followed,Owner 18,1,False
4829,337,Low,Facilities,ORG,ORG 2.1.4,Synthetic finding 4829 in facilities category.,2,2021-04-11,2021-06-05,2021-05-13,Closed,False,Documentation gap,Owner 01,2,False
4830,337,Medium,Human Factors,CGO,CGO 2.2.2,Synthetic finding 4830 in human factors category.,10,2021-04-05,2021-07-11,2021-06-01,Closed,False,Process design,Owner 19,5,False
4831,337,High,Human Factors,CGO,CGO 3.5.3,Synthetic finding 4831 in human factors category.,20,2021-04-06,2021-07-13,2021-06-09,Closed,False,Resource limitation,Owner 18,5,False
4832,337,Low,Training,ORG,ORG 1.7.4,Synthetic finding 4832 in training category.,1,2021-04-03,,2021-06-11,Overdue,False,Training gap,Owner 01,1,False
4833,337,Low,Documentation,CGO,CGO 1.9.2,Synthetic finding 4833 in documentation category.,4,2021-04-07,2021-07-25,2021-05-11,Closed,False,Process design,Owner 14,4,False
4834,337,Low,Operations,CGO,CGO 3.1.4,Synthetic finding 4834 in operations category.,4,2021-04-07,2021-07-24,2021-05-23,Closed,False,Procedure not followed,Owner 07,4,False
4835,337,Critical,Human Factors,ORG,ORG 3.1.2,Synthetic finding 4835 in human factors category.,20,2021-04-12,2021-07-17,2021-07-06,Closed,False,Procedure not followed,Owner 17,4,False
4836,337,Medium,Equipment,ORG,ORG 1.5.4,Synthetic finding 4836 in equipment category.,2,2021-04-08,2021-07-03,2021-05-16,Closed,False,Training gap,Owner 18,1,False
4837,337,Medium,Training,ORG,ORG 1.7.3,Synthetic finding 4837 in training category.,10,2021-04-09,,2021-05-23,Overdue,False,Training gap,Owner 03,5,False
4838,337,Low,Equipment,CGO,CGO 2.2.2,Synthetic finding 4838 in equipment category.,3,2021-04-02,,2021-05-02,Overdue,False,Training gap,Owner 12,3,False
4839,337,Critical,Facilities,ORG,ORG 3.1.3,Synthetic finding 4839 in facilities category.,15,2021-04-03,,2021-05-10,Overdue,True,Documentation gap,Owner 11,3,False
4840,338,Low,Operations,CGO,CGO 1.9.4,Synthetic finding 4840 in operations category.,5,2023-12-14,2024-02-09,2024-02-13,Closed,True,Training gap,Owner 12,5,True
4841,338,Medium,Facilities,ORG,ORG 1.7.2,Synthetic finding 4841 in facilities category.,8,2023-12-17,2024-01-16,2024-03-09,Closed,False,Procedure not followed,Owner 09,4,True
4842,338,High,Facilities,ORG,ORG 1.7.12,Synthetic finding 4842 in facilities category.,16,2023-12-06,2024-01-11,2024-02-27,Closed,False,Training gap,Owner 17,4,True
4843,338,Low,Human Factors,CGO,CGO 1.6.1,Synthetic finding 4843 in human factors category.,1,2023-12-14,,2024-01-28,Overdue,False,Procedure not followed,Owner 13,1,False
4844,338,Medium,Training,CGO,CGO 1.10.1A,Synthetic finding 4844 in training category.,8,2023-12-18,2024-01-21,2024-02-09,Closed,False,Resource limitation,Owner 14,4,True
4845,338,Medium,Facilities,CGO,CGO 1.6.2,Synthetic finding 4845 in facilities category.,4,2023-12-15,2024-02-03,2024-02-02,Closed,False,Resource limitation,Owner 17,2,False
4846,338,Low,Human Factors,CGO,CGO 2.1.5,Synthetic finding 4846 in human factors category.,2,2023-12-15,2024-03-07,2024-02-29,Closed,False,Resource limitation,Owner 03,2,False
4847,338,Medium,Human Factors,CGO,CGO 1.5.3,Synthetic finding 4847 in human factors category.,6,2023-12-11,2024-02-03,2024-02-19,Closed,False,Documentation gap,Owner 19,3,True
4848,338,Low,Operations,CGO,CGO 3.7.4,Synthetic finding 4848 in operations category.,3,2023-12-12,2024-02-07,2024-01-24,Closed,False,Process design,Owner 18,3,False
4849,338,High,Human Factors,CGO,CGO 1.6.3,Synthetic finding 4849 in human factors category.,12,2023-12-16,2024-01-16,2024-02-10,Closed,False,Training gap,Owner 02,3,True
4850,338,Low,Facilities,CGO,CGO 3.2.6,Synthetic finding 4850 in facilities category.,3,2023-12-18,2024-02-04,2024-02-11,Closed,False,Resource limitation,Owner 05,3,True
4851,338,Low,Documentation,CGO,CGO 1.9.3,Synthetic finding 4851 in documentation category.,4,2023-12-11,2024-01-22,2024-03-05,Closed,False,Documentation gap,Owner 02,4,True
4852,338,Medium,Training,CGO,CGO 1.3.1,Synthetic finding 4852 in training category.,10,2023-12-08,,2024-03-05,Overdue,False,Documentation gap,Owner 06,5,False
4853,338,Low,Equipment,CGO,CGO 2.2.5,Synthetic finding 4853 in equipment category.,3,2023-12-06,2024-02-09,2024-02-15,Closed,False,Process design,Owner 09,3,True
4854,338,Critical,Documentation,CGO,CGO 3.2.2,Synthetic finding 4854 in documentation category.,20,2023-12-18,2024-02-15,2024-01-25,Closed,False,Training gap,Owner 02,4,False
4855,338,Low,Human Factors,ORG,ORG 1.7.11,Synthetic finding 4855 in human factors category.,4,2023-12-14,2024-02-10,2024-02-26,Closed,False,Resource limitation,Owner 16,4,True
4856,338,High,Training,CGO,CGO 2.2.4,Synthetic finding 4856 in training category.,20,2023-12-15,,2024-03-10,Overdue,False,Procedure not followed,Owner 15,5,False
4857,338,High,Human Factors,CGO,CGO 1.11.4,Synthetic finding 4857 in human factors category.,12,2023-12-09,2024-01-10,2024-01-22,Closed,False,Procedure not followed,Owner 07,3,True
4858,338,Medium,Equipment,CGO,CGO 2.2.2,Synthetic finding 4858 in equipment category.,4,2023-12-07,2024-02-02,2024-01-07,Closed,True,Training gap,Owner 05,2,False
4859,338,Low,Documentation,CGO,CGO 3.1.4,Synthetic finding 4859 in documentation category.,5,2023-12-09,2024-01-13,2024-02-20,Closed,False,Procedure not followed,Owner 16,5,True
4860,338,Low,Training,ORG,ORG 1.7.5,Synthetic finding 4860 in training category.,5,2023-12-14,,2024-02-23,Overdue,False,Documentation gap,Owner 16,5,False
4861,338,Medium,Documentation,CGO,CGO 3.5.2,Synthetic finding 4861 in documentation category.,4,2023-12-07,2024-02-12,2024-02-13,Closed,False,Documentation gap,Owner 11,2,True
4862,338,Medium,Documentation,ORG,ORG 2.6.1,Synthetic finding 4862 in documentation category.,10,2023-12-14,,2024-01-22,Overdue,False,Training gap,Owner 07,5,False
4863,339,Low,Human Factors,ORG,ORG 1.5.2,Synthetic finding 4863 in human factors category.,1,2022-06-26,2022-08-29,2022-09-07,Closed,False,Training gap,Owner 13,1,True
4864,339,Critical,Operations,DSP,DSP 4.5.1,Synthetic finding 4864 in operations category.,15,2022-06-26,2022-09-07,2022-09-24,Closed,False,Training gap,Owner 12,3,True
4865,339,Low,Documentation,GRH,GRH 3.6.3,Synthetic finding 4865 in documentation category.,3,2022-06-30,2022-09-11,2022-08-22,Closed,False,Procedure not followed,Owner 20,3,False
4866,339,Low,Operations,ORG,ORG 2.2.1,Synthetic finding 4866 in operations category.,5,2022-06-22,2022-08-18,2022-07-30,Closed,False,Procedure not followed,Owner 04,5,False
4867,339,Medium,Facilities,DSP,DSP 3.2.5,Synthetic finding 4867 in facilities category.,10,2022-07-03,2022-09-22,2022-09-15,Closed,False,Documentation gap,Owner 09,5,False
4868,339,Medium,Equipment,ORG,ORG 2.1.8,Synthetic finding 4868 in equipment category.,8,2022-06-28,2022-09-15,2022-09-10,Closed,False,Documentation gap,Owner 20,4,False
4869,339,Medium,Training,ORG,ORG 2.4.4,Synthetic finding 4869 in training category.,8,2022-07-02,,2022-08-31,Overdue,False,Documentation gap,Owner 18,4,False
4870,339,Medium,Operations,GRH,GRH 1.11.5,Synthetic finding 4870 in operations category.,6,2022-07-03,2022-10-08,2022-08-29,Closed,True,Procedure not followed,Owner 18,3,False
4871,339,Medium,Human Factors,ORG,ORG 1.3.1,Synthetic finding 4871 in human factors category.,2,2022-06-22,2022-09-03,2022-07-31,Closed,False,Procedure not followed,Owner 14,1,False
4872,339,High,Operations,ORG,ORG 2.3.1,Synthetic finding 4872 in operations category.,12,2022-07-03,2022-08-29,2022-08-04,Closed,False,Process design,Owner 12,3,False
4873,339,Low,Facilities,ORG,ORG 1.1.3,Synthetic finding 4873 in facilities category.,1,2022-06-30,2022-09-04,2022-09-14,Closed,True,Resource limitation,Owner 07,1,True
4874,339,Low,Training,ORG,ORG 2.3.1,Synthetic finding 4874 in training category.,2,2022-06-28,2022-09-06,2022-08-17,Closed,False,Documentation gap,Owner 04,2,False
4875,339,Low,Human Factors,GRH,GRH 2.1.3,Synthetic finding 4875 in human factors category.,4,2022-06-26,,2022-08-25,Overdue,False,Documentation gap,Owner 06,4,False
4876,339,Low,Documentation,DSP,DSP 1.8.6,Synthetic finding 4876 in documentation category.,5,2022-06-28,2022-08-24,2022-08-19,Closed,False,Training gap,Owner 19,5,False
4877,339,Medium,Operations,GRH,GRH 1.9.2,Synthetic finding 4877 in operations category.,6,2022-06-29,,2022-09-09,Overdue,False,Training gap,Owner 18,3,False
4878,339,Medium,Training,ORG,ORG 3.1.3,Synthetic finding 4878 in training category.,8,2022-07-01,2022-10-04,2022-09-20,Closed,False,Procedure not followed,Owner 12,4,False
4879,339,Medium,Operations,GRH,GRH 1.7.1,Synthetic finding 4879 in operations category.,8,2022-06-29,2022-08-19,2022-09-03,Closed,False,Documentation gap,Owner 08,4,True
4880,339,Low,Operations,GRH,GRH 3.7.8,Synthetic finding 4880 in operations category.,4,2022-06-26,2022-08-19,2022-08-21,Closed,False,Training gap,Owner 19,4,True
4881,339,Medium,Operations,DSP,DSP 4.4.1,Synthetic finding 4881 in operations category.,2,2022-06-30,2022-08-08,2022-09-01,Closed,False,Training gap,Owner 08,1,True
4882,339,High,Operations,GRH,GRH 3.7.8,Synthetic finding 4882 in operations category.,12,2022-06-24,2022-09-12,2022-09-11,Closed,False,Resource limitation,Owner 01,3,False
4883,339,Low,Human Factors,DSP,DSP 1.4.1,Synthetic finding 4883 in human factors category.,3,2022-07-02,2022-08-26,2022-08-02,Closed,False,Process design,Owner 10,3,False
4884,339,Medium,Equipment,DSP,DSP 4.3.11,Synthetic finding 4884 in equipment category.,8,2022-06-24,2022-08-20,2022-09-13,Closed,False,Procedure not followed,Owner 04,4,True
4885,340,High,Documentation,ORG,ORG 1.7.12,Synthetic finding 4885 in documentation category.,16,2023-07-22,,2023-09-15,Overdue,False,Training gap,Owner 04,4,False
4886,340,Low,Documentation,MNT,MNT 4.3.1,Synthetic finding 4886 in documentation category.,1,2023-07-14,2023-09-05,2023-09-16,Closed,False,Resource limitation,Owner 05,1,True
4887,340,Low,Human Factors,ORG,ORG 3.3.5,Synthetic finding 4887 in human factors category.,4,2023-07-21,,2023-10-12,Overdue,True,Documentation gap,Owner 19,4,False
4888,340,Critical,Training,ORG,ORG 1.4.1,Synthetic finding 4888 in training category.,20,2023-07-16,2023-08-13,2023-10-11,Closed,True,Process design,Owner 12,4,True
4889,340,Low,Training,MNT,MNT 4.3.7,Synthetic finding 4889 in training category.,4,2023-07-18,2023-08-25,2023-09-02,Closed,True,Training gap,Owner 11,4,True
4890,340,High,Operations,ORG,ORG 2.5.1,Synthetic finding 4890 in operations category.,12,2023-07-23,,2023-10-08,Overdue,False,Procedure not followed,Owner 08,3,False
4891,340,Low,Human Factors,ORG,ORG 3.1.5,Synthetic finding 4891 in human factors category.,4,2023-07-18,2023-09-11,2023-08-25,Closed,False,Training gap,Owner 07,4,False
4892,340,High,Human Factors,ORG,ORG 3.5.1,Synthetic finding 4892 in human factors category.,12,2023-07-19,2023-08-20,2023-09-07,Closed,False,Training gap,Owner 18,3,True
4893,340,Low,Equipment,ORG,ORG 3.2.2,Synthetic finding 4893 in equipment category.,1,2023-07-23,2023-08-12,2023-09-15,Closed,False,Procedure not followed,Owner 01,1,True
4894,340,Low,Training,MNT,MNT 4.11.1,Synthetic finding 4894 in training category.,5,2023-07-26,2023-10-04,2023-10-13,Closed,False,Process design,Owner 08,5,True
4895,340,Medium,Training,MNT,MNT 3.1.4,Synthetic finding 4895 in training category.,8,2023-07-13,2023-09-02,2023-09-04,Closed,True,Documentation gap,Owner 18,4,True
4896,340,Medium,Human Factors,MNT,MNT 2.5.3,Synthetic finding 4896 in human factors category.,2,2023-07-19,2023-09-25,2023-08-21,Closed,False,Resource limitation,Owner 12,1,False
4897,340,High,Facilities,MNT,MNT 1.3.2,Synthetic finding 4897 in facilities category.,16,2023-07-22,2023-08-31,2023-09-23,Closed,False,Documentation gap,Owner 20,4,True
4898,340,Medium,Documentation,ORG,ORG 2.1.2,Synthetic finding 4898 in documentation category.,6,2023-07-16,2023-08-26,2023-08-17,Closed,False,Process design,Owner 19,3,False
4899,341,Medium,Training,ORG,ORG 1.7.8,Synthetic finding 4899 in training category.,4,2024-10-03,2024-10-31,2024-11-28,Closed,False,Process design,Owner 08,2,True
4900,341,Low,Equipment,FLT,FLT 2.2.22,Synthetic finding 4900 in equipment category.,5,2024-10-03,2024-11-12,2024-11-11,Closed,False,Procedure not followed,Owner 20,5,False
4901,341,Low,Training,FLT,FLT 2.1.45,Synthetic finding 4901 in training category.,1,2024-10-05,2024-11-28,2024-12-09,Closed,False,Resource limitation,Owner 09,1,True
4902,341,Medium,Equipment,DSP,DSP 4.5.5,Synthetic finding 4902 in equipment category.,4,2024-09-24,,2024-10-26,Overdue,True,Process design,Owner 06,2,False
4903,341,Medium,Documentation,FLT,FLT 3.10.5,Synthetic finding 4903 in documentation category.,4,2024-09-27,2024-11-28,2024-11-03,Closed,False,Documentation gap,Owner 13,2,False
4904,341,Medium,Operations,DSP,DSP 3.2.9C,Synthetic finding 4904 in operations category.,10,2024-10-06,2024-11-12,2024-12-03,Closed,False,Procedure not followed,Owner 13,5,True
4905,341,Low,Documentation,FLT,FLT 1.4.1,Synthetic finding 4905 in documentation category.,5,2024-10-01,2024-11-11,2024-12-03,Closed,False,Resource limitation,Owner 04,5,True
4906,341,Low,Facilities,DSP,DSP 1.4.2,Synthetic finding 4906 in facilities category.,4,2024-10-05,2024-11-15,2024-12-04,Closed,False,Documentation gap,Owner 04,4,True
4907,341,Low,Documentation,FLT,FLT 3.8.8,Synthetic finding 4907 in documentation category.,5,2024-10-01,,2024-11-16,Overdue,False,Documentation gap,Owner 09,5,False
4908,341,Low,Operations,FLT,FLT 1.6.3,Synthetic finding 4908 in operations category.,2,2024-09-24,2024-11-25,2024-10-24,Closed,True,Process design,Owner 11,2,False
4909,341,Medium,Training,DSP,DSP 2.5.1,Synthetic finding 4909 in training category.,2,2024-09-24,,2024-11-06,Overdue,False,Procedure not followed,Owner 08,1,False
4910,341,Low,Facilities,DSP,DSP 4.3.8,Synthetic finding 4910 in facilities category.,4,2024-09-26,2024-11-05,2024-12-17,Closed,True,Procedure not followed,Owner 20,4,True
4911,341,Low,Human Factors,DSP,DSP 4.3.6,Synthetic finding 4911 in human factors category.,2,2024-10-05,,2024-12-30,Overdue,False,Training gap,Owner 06,2,False
4912,341,Medium,Human Factors,FLT,FLT 3.13.8,Synthetic finding 4912 in human factors category.,6,2024-09-30,2024-11-10,2024-12-13,Closed,False,Procedure not followed,Owner 20,3,True
4913,341,Low,Equipment,FLT,FLT 3.15.3,Synthetic finding 4913 in equipment category.,4,2024-09-30,2024-10-31,2024-12-27,Closed,False,Resource limitation,Owner 10,4,True
4914,341,Low,Training,DSP,DSP 2.5.2,Synthetic finding 4914 in training category.,5,2024-09-30,2024-10-21,2024-12-23,Closed,False,Procedure not followed,Owner 05,5,True
4915,341,Low,Human Factors,ORG,ORG 2.2.4,Synthetic finding 4915 in human factors category.,3,2024-09-28,,2024-12-23,Overdue,False,Resource limitation,Owner 03,3,False
4916,341,Low,Documentation,FLT,FLT 3.11.60,Synthetic finding 4916 in documentation category.,1,2024-10-04,2024-11-30,2024-12-03,Closed,False,Documentation gap,Owner 07,1,True
4917,341,Medium,Facilities,ORG,ORG 1.7.12,Synthetic finding 4917 in facilities category.,2,2024-09-28,2024-10-21,2024-12-20,Closed,False,Documentation gap,Owner 15,1,True
4918,341,Low,Training,DSP,DSP 1.5.7,Synthetic finding 4918 in training category.,3,2024-09-28,2024-11-02,2024-12-10,Closed,False,Process design,Owner 04,3,True
4919,341,Low,Equipment,DSP,DSP 2.3.1,Synthetic finding 4919 in equipment category.,1,2024-09-24,2024-11-06,2024-11-27,Closed,False,Training gap,Owner 12,1,True
4920,342,Low,Documentation,ORG,ORG 1.3.2,Synthetic finding 4920 in documentation category.,5,2021-12-25,2022-03-02,2022-01-29,Closed,False,Procedure not followed,Owner 04,5,False
4921,342,Low,Operations,CAB,CAB 2.3.2,Synthetic finding 4921 in operations category.,5,2021-12-25,2022-01-09,2022-02-11,Closed,False,Documentation gap,Owner 06,5,True
4922,342,Medium,Operations,ORG,ORG 3.2.2,Synthetic finding 4922 in operations category.,10,2022-01-05,2022-03-08,2022-03-07,Closed,False,Resource limitation,Owner 05,5,False
4923,342,Medium,Operations,CAB,CAB 1.9.4,Synthetic finding 4923 in operations category.,10,2021-12-28,2022-02-28,2022-03-05,Closed,False,Training gap,Owner 07,5,True
4924,342,Low,Equipment,ORG,ORG 1.7.7,Synthetic finding 4924 in equipment category.,2,2022-01-02,,2022-02-15,Overdue,False,Process design,Owner 19,2,False
4925,342,High,Facilities,CAB,CAB 2.1.1B,Synthetic finding 4925 in facilities category.,16,2021-12-31,2022-03-06,2022-03-01,Closed,False,Documentation gap,Owner 20,4,False
4926,342,Low,Documentation,ORG,ORG 3.3.1,Synthetic finding 4926 in documentation category.,2,2021-12-31,,2022-02-11,Overdue,False,Training gap,Owner 20,2,False
4927,342,Medium,Documentation,CAB,CAB 3.4.14,Synthetic finding 4927 in documentation category.,10,2022-01-04,2022-03-12,2022-03-03,Closed,True,Training gap,Owner 08,5,False
4928,342,Low,Facilities,CAB,CAB 2.2.11,Synthetic finding 4928 in facilities category.,5,2021-12-29,2022-02-17,2022-03-20,Closed,False,Procedure not followed,Owner 01,5,True
4929,342,Low,Operations,ORG,ORG 2.5.1,Synthetic finding 4929 in operations category.,1,2022-01-03,2022-04-05,2022-02-19,Closed,False,Procedure not followed,Owner 19,1,False
4930,342,Medium,Equipment,ORG,ORG 4.1.2,Synthetic finding 4930 in equipment category.,2,2021-12-28,,2022-01-29,Overdue,True,Procedure not followed,Owner 15,1,False
4931,342,Medium,Facilities,ORG,ORG 1.7.9,Synthetic finding 4931 in facilities category.,8,2022-01-06,,2022-03-27,Overdue,False,Training gap,Owner 15,4,False
4932,342,High,Documentation,CAB,CAB 3.4.6,Synthetic finding 4932 in documentation category.,12,2022-01-06,2022-03-12,2022-02-19,Closed,False,Procedure not followed,Owner 04,3,False
4933,343,Medium,Facilities,DSP,DSP 1.10.2,Synthetic finding 4933 in facilities category.,10,2024-07-15,,2024-08-30,Overdue,False,Procedure not followed,Owner 02,5,False
4934,343,Medium,Facilities,DSP,DSP 1.10.3,Synthetic finding 4934 in facilities category.,4,2024-07-23,2024-09-08,2024-09-08,Closed,False,Resource limitation,Owner 13,2,True
4935,343,Medium,Operations,DSP,DSP 2.1.1,Synthetic finding 4935 in operations category.,6,2024-07-15,2024-08-16,2024-09-28,Closed,False,Process design,Owner 10,3,True
4936,343,Low,Facilities,DSP,DSP 1.3.1B,Synthetic finding 4936 in facilities category.,2,2024-07-15,2024-09-10,2024-10-10,Closed,False,Documentation gap,Owner 08,2,True
4937,343,High,Human Factors,DSP,DSP 4.3.16,Synthetic finding 4937 in human factors category.,12,2024-07-17,,2024-09-04,Overdue,False,Resource limitation,Owner 16,3,False
4938,343,Medium,Human Factors,FLT,FLT 1.5.3,Synthetic finding 4938 in human factors category.,2,2024-07-15,2024-09-15,2024-08-21,Closed,False,Training gap,Owner 18,1,False
4939,343,High,Equipment,FLT,FLT 3.8.8,Synthetic finding 4939 in equipment category.,16,2024-07-17,,2024-09-22,Overdue,False,Procedure not followed,Owner 05,4,False
4940,343,Low,Documentation,ORG,ORG 2.1.4,Synthetic finding 4940 in documentation category.,3,2024-07-22,2024-09-03,2024-09-25,Closed,False,Resource limitation,Owner 13,3,True
4941,343,Medium,Equipment,DSP,DSP 4.3.13,Synthetic finding 4941 in equipment category.,2,2024-07-23,2024-09-28,2024-08-29,Closed,False,Training gap,Owner 15,1,False
4942,343,High,Facilities,ORG,ORG 2.2.3,Synthetic finding 4942 in facilities category.,20,2024-07-17,2024-09-01,2024-09-01,Closed,False,Procedure not followed,Owner 10,5,True
4943,344,Low,Human Factors,DSP,DSP 1.4.1,Synthetic finding 4943 in human factors category.,3,2023-08-01,2023-09-14,2023-10-16,Closed,False,Procedure not followed,Owner 01,3,True
4944,344,Medium,Facilities,DSP,DSP 4.3.14,Synthetic finding 4944 in facilities category.,8,2023-08-03,2023-09-11,2023-09-14,Closed,False,Documentation gap,Owner 07,4,True
4945,344,Medium,Human Factors,DSP,DSP 4.3.6,Synthetic finding 4945 in human factors category.,10,2023-07-31,2023-09-08,2023-08-31,Closed,False,Procedure not followed,Owner 02,5,False
4946,344,Low,Equipment,DSP,DSP 1.11.3,Synthetic finding 4946 in equipment category.,2,2023-07-30,2023-09-21,2023-08-30,Closed,False,Process design,Owner 20,2,False
4947,344,Low,Training,GRH,GRH 1.1.1,Synthetic finding 4947 in training category.,1,2023-07-27,2023-09-24,2023-10-25,Closed,False,Procedure not followed,Owner 16,1,True
4948,344,Medium,Facilities,DSP,DSP 4.3.2,Synthetic finding 4948 in facilities category.,6,2023-07-27,2023-09-23,2023-09-11,Closed,False,Procedure not followed,Owner 07,3,False
